Date/Time of Report: 3/18/2025 10:24:49,,,,,,,,
Requester: STN08 - Oper,,,,,,,,
Filter Applied: Event Time: Before 1/14/2025 12:47:29 PM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: SERVERA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
12:46:17,4200,FI_4201,PVHIGH,ACK,,INSTRUMENT AIR FOLW,,
12:45:02,4200,FI_4201,PVHIGH,,L 00,INSTRUMENT AIR FOLW,2300.83,Nm³/h
12:43:00,4600,XV_4620A,CHANGE,,,devctla.gop,S0,
12:42:59,4600,XV_4620A,CHANGE,,,devctla.gop,S0,
12:42:59,6100,FIC_VC03,DEVLOW,ACK,,TK8B VCM Flow,,
12:42:56,4600,XV_4618A,CHANGE,,,devctla.gop,S1,
12:42:54,4600,XV_4618A,CHANGE,,,devctla.gop,S1,
12:42:19,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2243.22,Nm³/h
12:42:12,4200,FI_4201,PVHIGH,ACK,,INSTRUMENT AIR FOLW,,
12:42:05,4200,FI_4201,PVHIGH,,L 00,INSTRUMENT AIR FOLW,2300.83,Nm³/h
12:41:44,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2244.89,Nm³/h
12:41:35,4600,PY_4610A,PVHIGH,ACK,,R-4614A PT-4610A/PT-4611A DEV,,
12:41:29,4300,PI_8302,PVHIGH,OK,L 00,Fire Water Line Pressure,1.18428,Mpa
12:41:29,4600,PY_4610A,PVHIGH,,L 00,R-4614A PT-4610A/PT-4611A DEV,0.0800927,
12:41:28,4300,PI_8302,PVHIHI,OK,H 00,Fire Water Line Pressure,1.19337,Mpa
12:41:23,4600,XV_4621A,CHANGE,,,devctla.gop,S0,
12:41:23,4600,XV_4621A,CHANGE,,,devctla.gop,S0,
12:41:12,4600,FI_4606B,PVHIGH,OK,L 00,R-4614B Inlet Water Flow,83.0427,m3/h
12:41:11,4600,FI_4606B,PVHIGH,ACK,,R-4614B Inlet Water Flow,,
12:41:12,4600,FQ_4606B,BAD PV,OK,L 00,R-4614B Inlet Water Flow,84.3943,m3/h
12:41:08,4600,FQ_4606B,BAD PV,ACK,,R-4614B Inlet Water Flow,,
12:41:05,4600,XV_4620A,CHANGE,,,devctla.gop,S1,
12:41:03,4600,XV_4620A,CHANGE,,,devctla.gop,S1,
12:41:02,4600,PY_4610A,PVHIGH,OK,L 00,R-4614A PT-4610A/PT-4611A DEV,0.0645221,
12:40:57,4600,FQ_4606B,BAD PV,,L 00,R-4614B Inlet Water Flow,0.0645221,m3/h
12:40:56,4600,FI_4606B,PVHIGH,,L 00,R-4614B Inlet Water Flow,85.0701,m3/h
12:39:26,4600,XV_4620A,CHANGE,,,devctla.gop,S0,
12:39:23,4600,XV_4620A,CHANGE,,,devctla.gop,S0,
12:38:38,4600,XV_4621A,CHANGE,,,devctla.gop,S1,
12:38:38,4600,XV_4621A,CHANGE,,,devctla.gop,S1,
12:38:18,6100,FIC_VC03,DEVLOW,,L 00,TK8B VCM Flow,-3.01138,t/h
12:36:20,6200,PSH_P105,OFFNRM,ACK,,FAILING Alarm,,
12:36:04,6200,PSH_P105,OFFNRM,,U 00,FAILING Alarm,ON,
12:35:44,4200,FI_4201,PVHIGH,ACK,,INSTRUMENT AIR FOLW,,
12:35:38,4200,FI_4201,PVHIGH,,L 00,INSTRUMENT AIR FOLW,2301.05,Nm³/h
12:35:04,6100,FIC_VC03,DEVLOW,OK,L 00,TK8B VCM Flow,-2.54126,t/h
12:34:33,4500,HY_4504,CHANGE,,,devctla.gop,S0,
12:34:32,4500,HY_4504,CHANGE,,,devctla.gop,S0,
12:34:25,4500,HY_4504,CHANGE,,,devctla.gop,S1,
12:34:21,4500,HY_4504,CHANGE,,,devctla.gop,S1,
12:33:55,4600,P_4613A,CHANGE,,,devctla.gop,S1,
12:33:55,4600,P_4613A,CHANGE,,,devctla.gop,S1,
12:33:49,4600,XV_4618B,CMFAIL,ACK,,R-4614B Outlet Water,,
12:33:28,4600,XV_4618B,CMFAIL,OK,L 00,R-4614B Outlet Water,OPEN,
12:33:27,4600,XV_4618B,CMFAIL,,L 00,R-4614B Outlet Water,CLOSE,
12:33:14,4600,XV_4618B,CHANGE,,,devctla.gop,S1,
12:33:11,4600,XV_4618B,CHANGE,,,devctla.gop,S1,
12:33:11,4600,XV_4618B,CHANGE,,,devctla.gop,S1,
12:32:51,4600,XV_4637,CHANGE,,,devctla.gop,S0,
12:32:49,4600,XV_4637,CHANGE,,,devctla.gop,S0,
12:32:49,4600,XV_4637,CHANGE,,,devctla.gop,S0,
12:32:32,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2234.22,Nm³/h
12:32:03,4500,HY_4504,CHANGE,,,devctla.gop,S0,
