Date/Time of Report: 3/18/2025 10:13:51,,,,,,,,
Requester: STN08 - Oper,,,,,,,,
Filter Applied: Event Time: Before 2/10/2025 6:11:32 AM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: SERVERA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
6:11:29,6200,FQ_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow Totl,2.19609,t/h
6:11:30,6200,FIC_P204,BADCTL,OK,L 00,PLY-2E Pure Water Flow,2.19609,t/h
6:11:29,6200,FIC_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow,2.19609,t/h
6:11:28,6200,AUX_Poly1,OFFNRM,OK,H 00,PLY-2E polymerization flag,OFF,
6:11:28,6200,FQ_P204,BAD PV,ACK,,PLY-2E Pure Water Flow Totl,,
6:10:59,6200,FQ_P204,BAD PV,,L 00,PLY-2E Pure Water Flow Totl,0,t/h
6:10:59,6200,FIC_P204,BADCTL,,L 00,PLY-2E Pure Water Flow,0,t/h
6:10:59,6200,FIC_P204,BAD PV,,L 00,PLY-2E Pure Water Flow,0,t/h
6:10:03,6300,Param_Master2,MESSAGE,CNF,,Confirm To Start Poly-2E Discharge Operation,,
6:10:03,6300,Param_Master2,MESSAGE,ACK,,Confirm To Start Poly-2E Discharge Operation,,
6:09:52,6200,AUX_Poly1,OFFNRM,ACK,,PLY-2E polymerization flag,,
6:09:50,6300,Param_Master2,CONFIRMABLE MESSAGE,,,Confirm To Start Poly-2E Discharge Operation,,
6:09:48,SERVER_EAPCL,CONVER2,PERIODIC,,J 00,Report requires a sign-on operator to be selected to complete. - report 10,,
6:09:47,SERVER_EAPCL,CONVER2,PERIODIC,,J 00,Report Periodic Request,10,
6:09:46,6200,AUX_Poly1,OFFNRM,,H 00,PLY-2E polymerization flag,ON,
6:09:15,6200,AUX_Poly1,CHANGE,,,Max_Polyimtime.PV,285,
6:09:12,6200,AUX_Poly1,CHANGE,,,Min_Polyimtim.PV,285,
6:06:43,4200,FI_4201,PVHIGH,,L 00,INSTRUMENT AIR FOLW,2502.56,Nm³/h
6:06:25,6200,FIC_S101,DEVLOW,OK,H 00,CL-1G PVC Slurry Flow,-1.39512,m³/h
6:05:52,6200,FIC_S101,DEVLOW,ACK,,CL-1G PVC Slurry Flow,,
6:05:44,6200,FIC_S101,DEVLOW,,H 00,CL-1G PVC Slurry Flow,-3.2021,m³/h
6:04:41,6200,VSP_S108,OFFNRM,,J 00,VSPS108 Close,ON,
6:04:41,6200,VSP_S106,OFFNRM,,J 00,VSPS106 Close,ON,
6:04:35,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2438.73,Nm³/h
6:03:57,6200,TIC_S104,PVHIGH,OK,H 00,CL-1G Bottom PVC Slurry Temperature,110.495,DEGC
6:03:52,6200,VSP_S108,OFFNRM,OK,J 00,VSPS108 Open,OFF,
6:03:06,6200,VSP_S106,OFFNRM,OK,J 00,VSPS106 Close,OFF,
6:00:49,6200,TI_SC01,PVHIGH,OK,L 00,Steam Head Pipe Temperature,182.47,DEGC
6:00:39,6200,FIC_WW01,CHANGE,,,PIDA.SP,3,m³/h
6:00:38,4500,FIC_2501,BADCTL,OK,L 00,Chilled Water Minimum Flow Line,1079.57,m³/h
6:00:37,4500,FIC_2501,BAD PV,OK,L 00,,1079.57,
6:00:36,4500,FIC_2501,BAD PV,ACK,,,,
6:00:32,4500,FIC_2501,BADCTL,ACK,,Chilled Water Minimum Flow Line,,
6:00:26,4500,FIC_2501,BADCTL,,L 00,Chilled Water Minimum Flow Line,1079.57,m³/h
6:00:24,4500,FIC_2501,BAD PV,,L 00,,1079.57,
5:59:22,6200,TIC_S104,PVHIGH,ACK,,CL-1G Bottom PVC Slurry Temperature,,
5:59:14,6200,TIC_S104,PVHIGH,,H 00,CL-1G Bottom PVC Slurry Temperature,111.003,DEGC
5:58:53,4200,FI_4201,PVHIGH,ACK,,INSTRUMENT AIR FOLW,,
5:58:50,4500,FIC_2501,BAD PV,ACK,,,,
5:58:42,4500,FIC_2501,BADCTL,ACK,,Chilled Water Minimum Flow Line,,
5:58:00,4500,FIC_2501,BADCTL,OK,L 00,Chilled Water Minimum Flow Line,1084.01,m³/h
5:58:00,4500,FIC_2501,BAD PV,OK,L 00,,1084.01,
5:57:57,4500,FIC_2501,BADCTL,,L 00,Chilled Water Minimum Flow Line,1084.01,m³/h
5:57:56,4500,FIC_2501,BAD PV,,L 00,,1084.01,
5:56:21,4200,FI_4201,PVHIGH,,L 00,INSTRUMENT AIR FOLW,2500.34,Nm³/h
5:55:49,4500,FIC_2501,BADCTL,OK,L 00,Chilled Water Minimum Flow Line,870.339,m³/h
5:55:48,4500,FIC_2501,BAD PV,OK,L 00,,870.339,
5:53:51,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2447.52,Nm³/h
5:53:19,IOLINK_01A,AI_1F_MB_09,HART Diagnostic Underrun,OK,H 15,,PartnerB_06,
5:53:10,4200,FI_4201,PVHIGH,ACK,,INSTRUMENT AIR FOLW,,
5:50:19,IOLINK_01A,AI_1F_MB_05,HART Diagnostic Underrun,OK,H 15,,PartnerA_05,
5:46:43,6200,TI_SC01,PVHIGH,ACK,,Steam Head Pipe Temperature,,
5:46:37,6200,TI_SC01,PVHIGH,,L 00,Steam Head Pipe Temperature,185.003,DEGC
5:45:38,4200,FI_4201,PVHIGH,,L 00,INSTRUMENT AIR FOLW,2503.57,Nm³/h
5:44:38,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,
5:43:10,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2430.72,Nm³/h
5:39:34,6200,AUX_Poly2,OFFNRM,OK,L 00,current change rate alarm,OFF,
5:39:33,6200,AUX_Poly2,CHANGE,,,AckCurrAlm3.PVFL,ON,
5:39:27,6200,VSP_S108,OFFNRM,,J 00,VSPS108 Open,ON,
5:38:37,6200,VSP_S108,OFFNRM,OK,J 00,VSPS108 Close,OFF,
5:38:28,6100,Param_New,MESSAGE,CNF,,Confirm Slurry Transfer from TK1G to TK2G,,
5:38:27,6100,Param_New,MESSAGE,ACK,,Confirm Slurry Transfer from TK1G to TK2G,,
5:38:19,6100,Param_New,CONFIRMABLE MESSAGE,,,Confirm Slurry Transfer from TK1G to TK2G,,
5:38:08,6200,AUX_Poly2,OFFNRM,ACK,,current change rate alarm,,
5:38:01,6200,AUX_Poly2,OFFNRM,,L 00,current change rate alarm,ON,
5:36:39,6100,IIA_CM2F,PVHIGH,OK,L 00,CM-2F Running Indicate,315.336,AMp
5:33:06,4200,FI_4201,PVHIGH,ACK,,INSTRUMENT AIR FOLW,,
5:33:01,4400,PI_4401,PVLOW,OK,L 00,Supply Cooling Water Pressure,0.415267,MPa
5:32:50,4200,FI_4201,PVHIGH,,L 00,INSTRUMENT AIR FOLW,2504.57,Nm³/h
5:32:37,4400,P_4402B,UNCMD,ACK,,COOLING WATER PUMP,,
5:32:25,4400,P_4402B,UNCMD,,L 00,COOLING WATER PUMP,RUN,
5:30:58,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2448.52,Nm³/h
5:30:48,IOLINK_01A,AI_1F_MB_05,HART Diagnostic Underrun,ACK,,,,
5:29:23,IOLINK_01A,AI_1F_MB_05,HART Diagnostic Underrun,,H 15,,PartnerA_05,
