Date/Time of Report: 3/18/2025 13:05:26,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/6/2025 8:57:26 AM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
8:57:26,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:57:24,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:57:23,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-689.204,Kg/Hr
8:57:23,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,-689.204,Kg/h
8:57:21,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:57:16,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:57:14,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:57:12,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1141.83,Kg/Hr
8:57:13,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,-1141.83,Kg/h
8:57:10,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:57:08,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:57:07,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:57:06,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-720.705,Kg/Hr
8:57:05,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,-720.705,Kg/h
8:57:04,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:57:01,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1091.43,Kg/Hr
8:56:57,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,-1091.43,Kg/h
8:56:53,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:52,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:51,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:40,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-735.306,Kg/Hr
8:56:39,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,-735.306,Kg/h
8:56:39,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:37,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:36,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:33,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1085.68,Kg/Hr
8:56:31,U100,FIC_102B,CHANGE,,,PIDA.SP,10207.2,Kg/Hr
8:56:32,U100,FIC_102B,CHANGE,,,PIDA.SP,10220.4,Kg/Hr
8:56:31,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-642.783,Kg/Hr
8:56:32,U100,FIC_102B,CHANGE,,,PIDA.SP,10233.6,Kg/Hr
8:56:31,U100,FIC_102B,CHANGE,,,PIDA.SP,10246.8,Kg/Hr
8:56:30,U100,FIC_102B,CHANGE,,,PIDA.SP,10260,Kg/Hr
8:56:31,U100,FIC_102B,CHANGE,,,PIDA.SP,10273.2,Kg/Hr
8:56:30,U100,FIC_102B,CHANGE,,,PIDA.SP,10286.4,Kg/Hr
8:56:28,U100,FIC_102B,CHANGE,,,PIDA.SP,10299.6,Kg/Hr
8:56:27,U100,FIC_102B,CHANGE,,,PIDA.SP,10312.8,Kg/Hr
8:56:26,U100,FIC_102B,CHANGE,,,PIDA.SP,10299.6,Kg/Hr
8:56:26,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,10299.6,Kg/h
8:56:26,U100,FIC_102B,CHANGE,,,PIDA.SP,10312.8,Kg/Hr
8:56:25,U100,FIC_102B,CHANGE,,,PIDA.SP,10326,Kg/Hr
8:56:25,U100,FIC_102B,CHANGE,,,PIDA.SP,10339.2,Kg/Hr
8:56:24,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:24,U100,FIC_102B,CHANGE,,,PIDA.SP,10471.2,Kg/Hr
8:56:21,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1013.39,Kg/Hr
8:56:21,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,-1013.39,Kg/h
8:56:19,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-714.858,Kg/Hr
8:56:19,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:16,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1014.76,Kg/Hr
8:56:17,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,-1014.76,Kg/h
8:56:15,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:10,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:09,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:08,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:08,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:04,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:56:03,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-734.689,Kg/Hr
8:56:01,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:55:52,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1041.59,Kg/Hr
8:55:37,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-732.711,Kg/Hr
8:55:35,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1010.83,Kg/Hr
8:55:24,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-669.708,Kg/Hr
8:55:21,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1106.83,Kg/Hr
8:54:55,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-660.148,Kg/Hr
8:54:53,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1014.31,Kg/Hr
8:54:37,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-712.853,Kg/Hr
8:54:33,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1009.28,Kg/Hr
8:54:25,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-627.083,Kg/Hr
8:54:23,U400,HV_412_1,OFFNRM,OK,J 00,,ALRAM,
8:54:22,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1201.19,Kg/Hr
8:53:34,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-716.417,Kg/Hr
8:53:17,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1011.23,Kg/Hr
8:53:12,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-577.945,Kg/Hr
8:53:06,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1029.24,Kg/Hr
8:53:00,U400,HV_412_1,OFFNRM,,J 00,,NORMAL,
8:52:56,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-727.67,Kg/Hr
8:52:49,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1008.3,Kg/Hr
8:52:38,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-723.075,Kg/Hr
8:52:33,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1002.44,Kg/Hr
8:52:21,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-710.428,Kg/Hr
8:52:11,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1096.25,Kg/Hr
8:52:07,U400,HV_412_1,OFFNRM,OK,J 00,,ALRAM,
8:51:55,AREA400_HTDC,FIC_4416,BAD PV,,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:51:55,AREA400_HTDC,FIC_4416,BAD PV,OK,U 00,C2 FLOW TO AS-450 OVHD DILUTION,0,Kg/h
8:51:53,U400,HV_412_1,OFFNRM,,J 00,,NORMAL,
8:51:53,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-718.598,Kg/Hr
