Date/Time of Report: 3/18/2025 10:07:00,,,,,,,,
Requester: STN08 - Oper,,,,,,,,
Filter Applied: Event Time: Before 3/11/2025 6:20:16 AM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: SERVERA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
6:20:16,AO_2F_MB_13,TCV_2308,HART DIAG Byte  3 Bit 1,OK,J 00,BYTE  3 BIT 1 is set,OFF,
6:20:07,4600,SCM_R4614A,STOP,ACK,,,,
6:20:06,4600,SCM_R4614A,State Change,,J 00,SCM,Idle,
6:20:06,4600,SCM_R4614A,STOP,OK,L 00,,Idle,
6:20:04,4600,SCM_R4614A,CHANGE,,,COMMAND,Reset,
6:20:02,4600,SCM_R4614A,STOP,,L 00,,Stopped,
6:20:02,4600,SCM_R4614A,State Change,,J 00,SCM,Stopped,
6:20:03,4600,SCM_R4614A,Step Start,,J 00,STEPA_2,1,
6:20:02,4600,SCM_R4614A,CHANGE,,,COMMAND,Stop,
6:19:50,4600,FLAG_R4614A,CHANGE,,,R4614A_TRIP.PVfl,OFF,
6:18:38,4600,P_4613B,CHANGE,,,devctla.gop,S1,
6:17:31,4600,SCM_R4610A,STOP,ACK,,,,
6:17:28,4600,SCM_R4610A,STOP,OK,L 00,,Idle,
6:17:28,4600,SCM_R4610A,State Change,,J 00,SCM,Idle,
6:17:28,4600,SCM_R4610A,CHANGE,,,COMMAND,Reset,
6:17:25,4600,SCM_R4610A,Step End,,J 00,STEPA_2,1,
6:17:24,4600,SCM_R4610A,State Change,,J 00,SCM,Stopped,
6:17:24,4600,SCM_R4610A,STOP,,L 00,,Stopped,
6:17:25,4600,SCM_R4610A,Step Start,,J 00,STEPA_2,1,
6:17:25,4600,SCM_R4610A,Step End,,J 00,STEP90_1,1,
6:17:24,4600,SCM_R4610A,CHANGE,,,COMMAND,Stop,
6:16:41,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2449.96,Nm³/h
6:16:32,6200,VSP_P214,OFFNRM,,J 00,VSPP214 Close,ON,
6:16:19,IOLINK_01A,AI_1F_RB_19,HART Diagnostic Underrun,OK,H 15,,IOP_15,
6:15:57,6200,VSP_P214,OFFNRM,OK,J 00,VSPP214 Open,OFF,
6:15:56,6200,Recipe_Param,CHANGE,,,SetRVCM_2.PV,7,
6:15:56,6100,PIC_FL05,DISABL,,J 00,PW Flushing Water Pressure Controller,,
6:15:56,6100,FIC_FL02,DISABL,,J 00,High Pressure Flush Water to Polymerizers,,
6:15:48,6100,FIC_VC03,CHANGE,,,pida.mode,NORMAL,
6:15:47,6100,FIC_VC03,CHANGE,,,pida.mode,AUTO,
6:15:46,6100,FIC_VC03,CHANGE,,,PIDA.SP,9,t/h
6:15:45,6100,FIC_VC03,CHANGE,,,pida.mode,AUTO,
6:15:20,IOLINK_01A,AI_1F_RB_19,HART Diagnostic Underrun,,H 15,,IOP_15,
6:15:17,6200,Recipe_Param,CHANGE,,,SetCT_2.PV,79,
