Date/Time of Report: 3/18/2025 10:15:25,,,,,,,,
Requester: STN08 - Oper,,,,,,,,
Filter Applied: Event Time: Before 2/3/2025 2:23:23 PM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: SERVERA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
14:23:21,6200,FIC_BD01,CHANGE,,,DACA.PVSOURCE,AUTO,
14:23:11,6200,FIC_BD01,CHANGE,,,daca.PV,200,m³/h
14:23:06,6200,FIC_BD01,CHANGE,,,DACA.PVSOURCE,MAN,
14:22:38,6200,PI_RF01,PVLOLO,ACK,,Supply Chilled Water Head Pipe Pressure,,
14:22:30,6200,PI_RF01,PVLOLO,,L 00,Supply Chilled Water Head Pipe Pressure,0.136681,MPa
14:22:24,6300,LI_4251,PVHIGH,OK,L 00,V-4251 LEVEL,83.9959,%
14:20:51,6200,PI_RF01,PVLOW,ACK,,Supply Chilled Water Head Pipe Pressure,,
14:20:47,6100,IIA_CM2F,PVHIGH,ACK,,CM-2F Running Indicate,,
14:20:43,6100,IIA_CM2F,PVHIGH,,L 00,CM-2F Running Indicate,333.132,AMp
14:20:42,6200,PI_RF01,PVLOW,,L 00,Supply Chilled Water Head Pipe Pressure,0.189528,MPa
14:20:37,6200,FQ_BD01,CHANGE,,,totalizera.acctv,57,
14:18:12,4200,FI_4201,PVHIGH,ACK,,INSTRUMENT AIR FOLW,,
14:17:59,4200,FI_4201,PVHIGH,,L 00,INSTRUMENT AIR FOLW,2314.51,Nm³/h
14:17:04,6100,PIC_FL05,ENABLE,,J 00,PW Flushing Water Pressure Controller,,
14:16:54,6100,FIC_FL02,ENABLE,,J 00,High Pressure Flush Water to Polymerizers,,
14:16:37,6200,VSP_P106,OFFNRM,OK,J 00,VSPP106 Close,OFF,
14:16:37,6200,VSP_P105,OFFNRM,OK,J 00,VSPP105 Close,OFF,
14:16:06,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2249.67,Nm³/h
14:15:16,6200,TIC_P302,CHANGE,,,pida.mode,NORMAL,
14:15:15,6200,TIC_P302,CHANGE,,,pida.mode,AUTO,
14:15:15,6200,TIC_P302,CHANGE,,,PIDA.SP,28,DEGC
14:15:11,6200,TIC_P302,CHANGE,,,pida.mode,AUTO,
14:15:05,6200,LI_WW01,PVLOW,ACK,,Waste Water Tank Level,,
14:15:00,6200,FIC_WW01,CHANGE,,,PIDA.SP,2.8,m³/h
14:14:42,6200,LI_WW01,PVLOW,,L 00,Waste Water Tank Level,14.9936,%
14:12:02,6200,TIC_P101,PVLOW,ACK,,PLY-1E temperature control,,
14:11:48,6200,TIC_P101,PVLOW,,L 00,PLY-1E temperature control,55.9763,DEGC
14:09:49,4200,FI_4201,PVHIGH,ACK,,INSTRUMENT AIR FOLW,,
14:08:50,4200,FI_4201,PVHIGH,,L 00,INSTRUMENT AIR FOLW,2300.05,Nm³/h
14:07:09,6300,LI_104,PVHIGH,OK,L 00,TK-2I PVC Powder level,68.6285,%
14:06:51,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2245.89,Nm³/h
14:06:34,6200,FQ_BD01,ENABLE,,J 00,Polymerizer VCM Flow Total,,
14:06:34,6200,FIC_BD01,ENABLE,,J 00,PVC Slurry Discharge Flow,,
14:06:19,SERVER_EAPCL,PLY1E,PERIODIC,,J 00,Report requires a sign-on operator to be selected to complete. - report 1,,
14:06:18,SERVER_EAPCL,PLY1E,PERIODIC,,J 00,Report Periodic Request,1,
14:06:12,6200,AUX_Poly1,OFFNRM,OK,H 00,PLY-1E polymerization flag,OFF,
14:04:47,6300,Param_Master1,MESSAGE,CNF,,Confirm To Start Poly-1E Discharge Operation,,
14:04:47,6300,Param_Master1,MESSAGE,ACK,,Confirm To Start Poly-1E Discharge Operation,,
14:04:39,6300,Param_Master1,CONFIRMABLE MESSAGE,,,Confirm To Start Poly-1E Discharge Operation,,
14:04:22,6200,AUX_Poly1,OFFNRM,ACK,,PLY-1E polymerization flag,,
14:04:16,SERVER_EAPCL,CONVER1,PERIODIC,,J 00,Report requires a sign-on operator to be selected to complete. - report 9,,
14:04:16,SERVER_EAPCL,CONVER1,PERIODIC,,J 00,Report Periodic Request,9,
14:04:15,6200,AUX_Poly1,OFFNRM,,H 00,PLY-1E polymerization flag,ON,
14:04:14,6200,AUX_Poly1,CHANGE,,,Max_Polyimtime.PV,289,
14:04:09,6200,AUX_Poly1,CHANGE,,,Min_Polyimtim.PV,289,
14:00:07,SERVER_EAPCL,File Replication,REPLICATION,,J 00,Filerep #1 replicating.,,
14:00:00,SERVER_EAPCL,Filerep #1,FILREP,,,Replicate Now,,
13:58:28,4200,FI_4201,PVHIGH,ACK,,INSTRUMENT AIR FOLW,,
13:58:18,4200,FI_4201,PVHIGH,,L 00,INSTRUMENT AIR FOLW,2302.83,Nm³/h
13:57:04,6200,FIC_S101,DEVLOW,OK,H 00,CL-1G PVC Slurry Flow,-1.32701,m³/h
13:56:34,6200,FIC_S101,DEVLOW,ACK,,CL-1G PVC Slurry Flow,,
13:56:24,6200,FIC_S101,DEVLOW,,H 00,CL-1G PVC Slurry Flow,-2.4814,m³/h
13:56:05,6200,TIC_S104,PVHIGH,OK,H 00,CL-1G Bottom PVC Slurry Temperature,110.495,DEGC
13:55:52,6200,PDR_S107,PVHIGH,ACK,,CL-1G Inlet and outlet Differ pressure,,
13:55:47,6200,PDR_S107,PVHIGH,,L 00,CL-1G Inlet and outlet Differ pressure,20.0043,KPa
13:55:34,4200,FI_4201,PVHIGH,OK,L 00,INSTRUMENT AIR FOLW,2244.22,Nm³/h
13:55:26,6200,VSP_S106,OFFNRM,,J 00,VSPS106 Close,ON,
13:55:20,6200,VSP_S108,OFFNRM,,J 00,VSPS108 Close,ON,
13:54:36,IOLINK_01A,AI_1F_LB_21,HART Diagnostic Underrun,OK,H 15,,PartnerB_03,
13:54:32,6200,VSP_S108,OFFNRM,OK,J 00,VSPS108 Open,OFF,
13:53:52,6200,VSP_S106,OFFNRM,OK,J 00,VSPS106 Close,OFF,
