Date/Time of Report: 3/18/2025 12:56:17,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/13/2025 5:37:38 PM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
17:37:37,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6541.75,Kg/hr
17:37:36,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6541.75,Kg/hr
17:37:36,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6541.75,Kg/hr
17:37:36,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-710.701,Kg/Hr
17:37:34,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,-710.701,Kg/hr
17:37:33,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,8953.29,Kg/hr
17:37:32,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,8953.29,Kg/hr
17:37:30,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,8953.29,Kg/hr
17:37:29,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,8953.29,Kg/hr
17:37:29,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6652.99,Kg/hr
17:37:28,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6652.99,Kg/hr
17:37:28,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6652.99,Kg/hr
17:37:27,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6652.99,Kg/hr
17:37:27,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6618.91,Kg/hr
17:37:27,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1005.82,Kg/Hr
17:37:27,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6618.91,Kg/hr
17:37:27,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6618.91,Kg/hr
17:37:25,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6618.91,Kg/hr
17:37:23,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,10727.6,Kg/hr
17:37:22,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,10727.6,Kg/hr
17:37:22,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,10727.6,Kg/hr
17:37:21,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,10727.6,Kg/hr
17:37:22,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6575.05,Kg/hr
17:37:21,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6575.05,Kg/hr
17:37:21,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6575.05,Kg/hr
17:37:19,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6575.05,Kg/hr
17:37:18,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6588.36,Kg/hr
17:37:17,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6588.36,Kg/hr
17:37:17,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6588.36,Kg/hr
17:37:16,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6588.36,Kg/hr
17:37:15,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6571.91,Kg/hr
17:37:15,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6571.91,Kg/hr
17:37:14,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6571.91,Kg/hr
17:37:13,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6571.91,Kg/hr
17:37:12,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6532.35,Kg/hr
17:37:11,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6532.35,Kg/hr
17:37:11,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6532.35,Kg/hr
17:37:10,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6532.35,Kg/hr
17:37:10,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6517.08,Kg/hr
17:37:08,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6517.08,Kg/hr
17:37:08,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6517.08,Kg/hr
17:37:07,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6517.08,Kg/hr
17:37:05,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,16858.1,Kg/hr
17:37:04,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,16858.1,Kg/hr
17:37:05,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,16858.1,Kg/hr
17:37:04,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,16858.1,Kg/hr
17:37:04,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6956.54,Kg/hr
17:37:02,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6956.54,Kg/hr
17:37:03,U300,TI_4269,PVLOW,ACK,,Temp Indication of QBS AS-305 Overhead,,
17:36:58,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6956.54,Kg/hr
17:36:57,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6956.54,Kg/hr
17:36:56,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,7401.09,Kg/hr
17:36:55,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,7401.09,Kg/hr
17:36:55,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,7401.09,Kg/hr
17:36:55,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-642.343,Kg/Hr
17:36:56,U800,LICA_AS802_1,ALARM,ACK PNT,,AS 802 sump level,,
17:36:56,U800,LICA_AS802_1,PVHIGH,ACK,,Level of AS 802 sump,,
17:36:55,U300,TI_4269,PVLOW,,U 00,Temp Indication of QBS AS-305 Overhead,179.856,*C
17:36:54,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,179.856,Kg/hr
17:36:55,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6574.26,Kg/hr
17:36:54,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6574.26,Kg/hr
17:36:54,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6574.26,Kg/hr
17:36:52,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6574.26,Kg/hr
17:36:52,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,7396.78,Kg/hr
17:36:51,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,7396.78,Kg/hr
17:36:51,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,7396.78,Kg/hr
17:36:52,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1013.22,Kg/Hr
17:36:51,U200,TIC-264,CHANGE,,,PIDA.SP,232.262,°C
17:36:51,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,232.262,Kg/hr
17:36:50,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6580.92,Kg/hr
17:36:50,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6580.92,Kg/hr
17:36:50,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6580.92,Kg/hr
17:36:49,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6580.92,Kg/hr
17:36:49,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6631.45,Kg/hr
17:36:47,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6631.45,Kg/hr
17:36:47,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6631.45,Kg/hr
17:36:47,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6631.45,Kg/hr
17:36:47,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6654.95,Kg/hr
17:36:45,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6654.95,Kg/hr
17:36:45,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6654.95,Kg/hr
17:36:43,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6654.95,Kg/hr
17:36:43,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6571.52,Kg/hr
17:36:43,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6571.52,Kg/hr
17:36:41,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6571.52,Kg/hr
17:36:41,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6571.52,Kg/hr
17:36:40,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6462.24,Kg/hr
17:36:40,U300,FIC_314,CHANGE,,,PIDA.OP,73,%
17:36:40,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6462.24,Kg/hr
17:36:40,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6462.24,Kg/hr
17:36:39,U300,FIC_314,CHANGE,,,PIDA.OP,72,%
17:36:38,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,72,Kg/hr
17:36:38,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6456.76,Kg/hr
17:36:37,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6456.76,Kg/hr
17:36:38,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6456.76,Kg/hr
17:36:36,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6456.76,Kg/hr
17:36:36,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6436,Kg/hr
17:36:35,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6436,Kg/hr
17:36:35,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6436,Kg/hr
17:36:34,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-674.097,Kg/Hr
17:36:34,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,-674.097,Kg/hr
17:36:34,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6415.24,Kg/hr
17:36:32,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6415.24,Kg/hr
17:36:31,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6415.24,Kg/hr
17:36:31,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6415.24,Kg/hr
17:36:29,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6489.66,Kg/hr
17:36:28,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6489.66,Kg/hr
17:36:28,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6489.66,Kg/hr
17:36:28,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1035.34,Kg/Hr
17:36:27,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,-1035.34,Kg/hr
17:36:26,U300,FIC_314,BADCTL,OK,U 00,Flow of steam to reboilers TT-306A/B,6422.29,Kg/hr
17:36:26,U300,FIC_314,BAD PV,OK,H 00,Flow of steam to reboilers TT-306A/B,6422.29,Kg/hr
17:36:25,U300,FIC_314,BADCTL,,U 00,Flow of steam to reboilers TT-306A/B,6422.29,Kg/hr
17:36:25,U300,FIC_314,BAD PV,,H 00,Flow of steam to reboilers TT-306A/B,6422.29,Kg/hr
