Date/Time of Report: 3/18/2025 13:06:20,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/4/2025 4:58:01 AM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
4:58:01,U500,FI_511,BAD PV,ACK,,Boiler Feed Water Flow,,
4:58:01,U800,LIA_MF801_1,PVHIGH,ACK,,MF-801 interface,,
4:58:01,U800,PP815D,OFFNRM,ACK,,,,
4:57:55,U300,SOP_PP304A,PVLOW,ACK,,PP-304A SOP DP,,
4:57:42,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-639.307,Kg/Hr
4:57:34,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1038.81,Kg/Hr
4:57:18,U300,SOP_PP304A,PVLOW,,L 00,PP-304A SOP DP,149.601,kPaG
4:57:11,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-733.86,Kg/Hr
4:56:56,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1033.81,Kg/Hr
4:56:49,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-591.696,Kg/Hr
4:56:47,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1009.94,Kg/Hr
4:56:45,U200,PIC_228,CHANGE,,,PIDA.SP,277.003,KPa
4:56:45,U200,PIC_228,CHANGE,,,PIDA.SP,277.503,KPa
4:56:43,U200,PIC_228,CHANGE,,,PIDA.SP,278.003,KPa
4:56:43,U200,PIC_228,CHANGE,,,PIDA.SP,278.503,KPa
4:56:43,U200,PIC_228,CHANGE,,,PIDA.SP,279.003,KPa
4:56:42,U200,PIC_228,CHANGE,,,PIDA.SP,279.503,KPa
4:56:42,U200,PIC_228,CHANGE,,,PIDA.SP,280.003,KPa
4:56:42,U200,PIC_228,CHANGE,,,PIDA.SP,280.503,KPa
4:56:41,U200,PIC_228,CHANGE,,,PIDA.SP,281.003,KPa
4:56:42,U200,PIC_228,CHANGE,,,PIDA.SP,281.503,KPa
4:56:40,U200,PIC_228,CHANGE,,,PIDA.SP,282.003,KPa
